first_name,last_name,gender,major,year,email,dollar_limit,prob_of_activity,prob_of_comment,prob_of_like,ethnicity,age,image_url
Balachander,Ramachandran,male,CS,Grad,dragontransformer@gmail.com,6,0.3094,0.4854,0.9718,Romulan,23,Balachander.jpg
Cheng Han,Lee,male,CS,Grad,leechenghan91@gmail.com,6,0.1898,0.0494,0.4206,Martian,23,Cheng Han.jpg
Sanjana,Chandrashekhar,female,CS,Grad,sanjana_chan@yahoo.co.in,5,0.1895,0.672,0.7082,Klingon,23,Sanjana.jpg
Hari,Sundaram,male,CS,PhD,hari.sundaram@gmail.com,10,0.2314,0.095,0.7082,Martian,30,Hari.jpg
tim,murphy,male,Civil,Sophomore,tim.murphy90@example.com,10,0.4934,0.628,0.304,Human,18,http://api.randomuser.me/portraits/thumb/men/0.jpg
roland,phillips,male,Civil,Senior,roland.phillips53@example.com,5,0.256,0.1748,0.1834,Klingon,22,http://api.randomuser.me/portraits/thumb/men/0.jpg
Urmila,Rathod,female,MSTM,Grad,urmila_0924@yahoo.com,8,0.2732,0.1372,0.7494,Human,20,Urmila.jpg
Apoorva,Kandya,female,MSTM,Grad,apoorvakandya@yahoo.co.in,9,0.1194,0.5303,0.0278,Martian,17,Apoorva.jpg
Smruthi,Murali,female,Aerospace,Grad,smruthi.murali@gmail.com,7,0.2968,0.0821,0.6074,Klingon,29,Smruthi.jpg
logan,castillo,male,ECE,Junior,logan.castillo48@example.com,5,0.1417,0.6994,0.8413,Klingon,26,http://api.randomuser.me/portraits/thumb/men/0.jpg
karl,reid,male,CS,Junior,karl.reid40@example.com,7,0.2343,0.5515,0.687,Klingon,28,http://api.randomuser.me/portraits/thumb/men/0.jpg
nathan,foster,male,CS,Junior,nathan.foster25@example.com,6,0.3044,0.1479,0.7606,Human,24,http://api.randomuser.me/portraits/thumb/men/0.jpg
leta,sims,female,Mech,Junior,leta.sims94@example.com,7,0.1898,0.1308,0.9975,Klingon,25,http://api.randomuser.me/portraits/thumb/women/10.jpg
gavin,duncan,male,Mech,Grad,gavin.duncan66@example.com,7,0.2907,0.1352,0.8193,Martian,17,http://api.randomuser.me/portraits/thumb/men/0.jpg
phyllis,porter,female,Mech,Freshman,phyllis.porter30@example.com,5,0.3948,0.6446,0.4206,Klingon,22,http://api.randomuser.me/portraits/thumb/women/84.jpg
carole,turner,female,Media,Senior,carole.turner76@example.com,8,0.2092,0.4854,0.5611,Romulan,22,http://api.randomuser.me/portraits/thumb/women/87.jpg
diane,matthews,female,Aerospace,Grad,diane.matthews64@example.com,5,0.2493,0.3904,0.9718,Martian,26,http://api.randomuser.me/portraits/thumb/women/75.jpg
audrey,douglas,female,CS,Freshman,audrey.douglas25@example.com,9,0.1252,0.2693,0.1384,Romulan,21,http://api.randomuser.me/portraits/thumb/women/38.jpg
kathryn,price,female,Aerospace,PhD,kathryn.price55@example.com,11,0.3256,0.095,0.9171,Klingon,28,http://api.randomuser.me/portraits/thumb/women/23.jpg
kirk,kelley,male,Mech,Grad,kirk.kelley39@example.com,8,0.0058,0.0574,0.6279,Martian,18,http://api.randomuser.me/portraits/thumb/men/0.jpg
jamie,diaz,female,CS,PhD,jamie.diaz63@example.com,5,0.0886,0.6548,0.3633,Martian,27,http://api.randomuser.me/portraits/thumb/women/91.jpg
misty,bradley,female,Civil,Grad,misty.bradley14@example.com,5,0.3856,0.4127,0.6184,Human,21,http://api.randomuser.me/portraits/thumb/women/60.jpg
jon,schmidt,male,Civil,Sophomore,jon.schmidt77@example.com,5,0.4837,0.4599,0.807,Klingon,25,http://api.randomuser.me/portraits/thumb/men/0.jpg
norma,fuller,female,Media,Junior,norma.fuller97@example.com,9,0.1739,0.1271,0.285,Romulan,18,http://api.randomuser.me/portraits/thumb/women/95.jpg
bella,stewart,female,Aerospace,PhD,bella.stewart48@example.com,9,0.2314,0.1197,0.399,Romulan,19,http://api.randomuser.me/portraits/thumb/women/51.jpg
valerie,cole,female,Mech,Freshman,valerie.cole64@example.com,11,0.0247,0.672,0.7082,Martian,19,http://api.randomuser.me/portraits/thumb/women/36.jpg
susan,craig,female,ECE,Senior,susan.craig12@example.com,8,0.3094,0.6665,0.6048,Vulcan,23,http://api.randomuser.me/portraits/thumb/women/83.jpg
nellie,martin,female,ECE,Senior,nellie.martin28@example.com,10,0.3967,0.0937,0.5899,Vulcan,27,http://api.randomuser.me/portraits/thumb/women/62.jpg
frank,wilson,male,Civil,Senior,frank.wilson92@example.com,9,0.3547,0.0339,0.4552,Romulan,20,http://api.randomuser.me/portraits/thumb/men/1.jpg
jessie,austin,female,ECE,Senior,jessie.austin15@example.com,8,0.1895,0.4271,0.8319,Human,23,http://api.randomuser.me/portraits/thumb/women/40.jpg
erica,terry,female,Mech,Grad,erica.terry20@example.com,10,0.3215,0.0494,0.4837,Romulan,20,http://api.randomuser.me/portraits/thumb/women/43.jpg
leo,wright,male,Architecture,PhD,leo.wright65@example.com,5,0.0512,0.5515,0.124,Klingon,19,http://api.randomuser.me/portraits/thumb/men/1.jpg
cecil,castro,male,Aerospace,Grad,cecil.castro25@example.com,8,0.392,0.6664,0.7431,Klingon,21,http://api.randomuser.me/portraits/thumb/men/1.jpg
sara,dunn,female,Media,Freshman,sara.dunn56@example.com,9,0.0228,0.3433,0.988,Romulan,18,http://api.randomuser.me/portraits/thumb/women/48.jpg
byron,black,male,CS,Freshman,byron.black65@example.com,6,0.1112,0.3866,0.7096,Human,18,http://api.randomuser.me/portraits/thumb/men/1.jpg
kay,jimenez,female,Architecture,Freshman,kay.jimenez35@example.com,5,0.2234,0.6669,0.0993,Klingon,18,http://api.randomuser.me/portraits/thumb/women/20.jpg
