first_name,last_name,gender,major,year,is_vegetarian,doller_limit
Coreen,Littlewood,f,CS,junior,1,5
Cara,Duda,f,CS,junior,1,6
Gertrudis,Bernier,f,CS,junior,1,5
Cedrick,Gatchell,m,CS,junior,1,6
Latasha,Tippens,f,CS,junior,1,7
Lianne,Rustad,f,CS,Senior,1,8
Myesha,Foltz,f,CS,Senior,1,9
Tori,Mccoin,f,CS,Senior,0,10
Tula,Holford,f,CS,Senior,0,6
Melodee,Youngquist,f,CS,Grad,0,7
Mauro,Nethery,m,CS,Grad,0,8
Chasity,Courser,f,CS,Grad,0,9
Pearline,Penfold,f,CS,freshman,0,10
Gil,Roque,m,CS,freshman,0,6
Santa,Tamura,f,CS,freshman,1,7
Thomasine,Witter,f,CS,sophomore,1,8
Ollie,Avila,m,CS,sophomore,1,9
Tiesha,Sher,f,CS,sophomore,1,10
Carissa,Fitzwater,f,CS,PhD,1,7
Heidy,Lumley,f,ECE,junior,1,8
Susie,Holter,f,ECE,junior,1,9
Leslee,Sieg,f,ECE,junior,0,10
Quintin,Silvester,m,ECE,junior,0,9
Stefany,Hartson,f,ECE,junior,0,10
Miyoko,Milnes,f,ECE,Senior,0,5
Margurite,Rayner,f,ECE,Senior,0,5
Analisa,Mitchem,f,ECE,Senior,0,6
Vinnie,Conaway,f,ECE,Senior,0,7
Carita,Madore,f,ECE,Grad,1,8
Kathlene,Buttars,f,ECE,Grad,1,9
Shantelle,Bartle,f,ECE,Grad,1,10
Anabel,Stenger,f,ECE,freshman,1,8
Ludie,Oyola,f,ECE,freshman,1,9
Shea,Esker,f,ECE,freshman,1,10
Tona,Heatherly,f,Math,sophomore,1,9
Dominica,Lupo,f,Math,sophomore,0,10
Daren,Fredette,m,Math,sophomore,0,5
Kitty,Lahr,f,Math,PhD,0,6
Irmgard,Bryner,f,Math,junior,0,7
Oliver,Jean,m,Math,junior,0,8
Daryl,Sampsel,m,Math,junior,0,5
Alexis,Calabria,m,Math,junior,0,6
Luciano,Hayashi,m,Math,junior,1,7
Leonor,Gain,f,Math,Senior,1,8
Beaulah,Nicholls,f,Math,Senior,1,9
Taisha,Haskett,f,Accounts,Senior,1,10
Delmar,Mcelwain,m,Accounts,Senior,1,9
Adrianna,Streater,f,Accounts,Grad,1,10
Hank,Horne,m,Accounts,Grad,1,5
Dale,Fein,m,Accounts,Grad,0,6
Beatriz,Beets,f,Accounts,freshman,0,7
Meggan,Montandon,f,Accounts,freshman,0,8
Ophelia,Overfield,f,Accounts,freshman,0,9
Joseph,Jasik,m,Accounts,sophomore,0,10
Jorge,Joly,m,Accounts,sophomore,0,5
Annamaria,Autrey,f,Accounts,sophomore,0,6
Hang,Hollier,f,Accounts,PhD,1,7
Maryetta,Mckillop,f,Accounts,junior,1,8
Clarissa,Croney,f,Accounts,junior,1,9
Bridgett,Brinkley,f,Accounts,junior,1,10
Alix,Anstine,f,Accounts,junior,1,5
Dalene,Declue,f,Accounts,junior,1,6
Tesha,Tu,f,CS,Senior,1,7
Vernice,Velazquez,f,CS,Senior,0,5
Lenard,Lien,m,CS,Senior,0,6
Cleotilde,Calise,f,CS,Senior,0,7
Mathew,Mattioli,m,CS,Grad,0,8
Penni,Prisco,f,CS,Grad,0,9
Kasey,Keefer,m,CS,Grad,0,10
Foster,Frausto,m,CS,freshman,0,7
Elsa,Emery,f,CS,freshman,1,8
Gabrielle,Goodnough,f,CS,freshman,1,9
Kacey,Kohen,f,CS,sophomore,1,10
Pura,Pannone,f,CS,sophomore,1,6
Lajuana,Lafayette,f,CS,sophomore,1,7
Ashlyn,Arechiga,f,CS,PhD,1,8
Kenton,Krum,m,CS,junior,1,9
Jolanda,Jenning,f,CS,junior,0,10
Tanja,Tremble,f,CS,junior,0,5
Grayce,Gerhardt,f,CS,junior,0,6
Mona,Matarazzo,f,CS,junior,0,7
Eldon,Egger,m,CS,Senior,0,8
Zelda,Zeng,f,CS,Senior,0,5
Arielle,Aslinger,f,CS,Senior,0,6
Arla,Abramson,f,CS,Senior,1,7
Marty,Mckinstry,m,CS,Grad,1,8
Michelina,Merlin,f,Mech,Grad,1,9
Beau,Bogen,m,Mech,Grad,1,10
Yukiko,Yeater,f,Mech,freshman,1,6
Clarice,Circle,f,Mech,freshman,1,7
Angelyn,Accetta,f,Mech,freshman,1,8
Alonzo,Ankney,m,Mech,sophomore,0,9
Margy,Medina,f,Mech,sophomore,0,10
Nicole,Nardone,f,Mech,sophomore,0,7
Gwenda,Goldsmith,f,Mech,PhD,0,8
Calandra,Cusack,f,Mech,junior,0,9
Ava,Avelar,f,Mech,senior,0,10
Rubie,Rolston,f,Civil,Grad,0,5
Chauncey,Canipe,m,Civil,Senior,1,6
Galina,Gardner,f,Civil,junior,1,7
